ID	Gene Name	Species	KEGG_PATHWAY
CBL	Cbl proto-oncogene(CBL)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04120:Ubiquitin mediated proteolysis,hsa04144:Endocytosis,hsa04660:T cell receptor signaling pathway,hsa04910:Insulin signaling pathway,hsa05100:Bacterial invasion of epithelial cells,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05220:Chronic myeloid leukemia,
DFFA	DNA fragmentation factor subunit alpha(DFFA)	Homo sapiens	hsa04210:Apoptosis,
DFFB	DNA fragmentation factor subunit beta(DFFB)	Homo sapiens	hsa04210:Apoptosis,
EPHA1	EPH receptor A1(EPHA1)	Homo sapiens	hsa04360:Axon guidance,
FYB	FYN binding protein(FYB)	Homo sapiens	hsa04015:Rap1 signaling pathway,
FADD	Fas associated via death domain(FADD)	Homo sapiens	hsa04210:Apoptosis,hsa04620:Toll-like receptor signaling pathway,hsa04622:RIG-I-like receptor signaling pathway,hsa04668:TNF signaling pathway,hsa05010:Alzheimer's disease,hsa05142:Chagas disease (American trypanosomiasis),hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05168:Herpes simplex infection,hsa05200:Pathways in cancer,
FAS	Fas cell surface death receptor(FAS)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04060:Cytokine-cytokine receptor interaction,hsa04115:p53 signaling pathway,hsa04210:Apoptosis,hsa04650:Natural killer cell mediated cytotoxicity,hsa04668:TNF signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa04940:Type I diabetes mellitus,hsa05010:Alzheimer's disease,hsa05142:Chagas disease (American trypanosomiasis),hsa05143:African trypanosomiasis,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05168:Herpes simplex infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05320:Autoimmune thyroid disease,hsa05330:Allograft rejection,hsa05332:Graft-versus-host disease,
FASLG	Fas ligand(FASLG)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04060:Cytokine-cytokine receptor interaction,hsa04068:FoxO signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04210:Apoptosis,hsa04650:Natural killer cell mediated cytotoxicity,hsa04722:Neurotrophin signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa04940:Type I diabetes mellitus,hsa05142:Chagas disease (American trypanosomiasis),hsa05143:African trypanosomiasis,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05168:Herpes simplex infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05320:Autoimmune thyroid disease,hsa05330:Allograft rejection,hsa05332:Graft-versus-host disease,
GAB2	GRB2 associated binding protein 2(GAB2)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04071:Sphingolipid signaling pathway,hsa04380:Osteoclast differentiation,hsa04664:Fc epsilon RI signaling pathway,hsa04666:Fc gamma R-mediated phagocytosis,hsa05220:Chronic myeloid leukemia,
HTRA2	HtrA serine peptidase 2(HTRA2)	Homo sapiens	hsa05012:Parkinson's disease,
ITK	IL2 inducible T-cell kinase(ITK)	Homo sapiens	hsa04062:Chemokine signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04670:Leukocyte transendothelial migration,
IQSEC1	IQ motif and Sec7 domain 1(IQSEC1)	Homo sapiens	hsa04144:Endocytosis,
JAK3	Janus kinase 3(JAK3)	Homo sapiens	hsa04062:Chemokine signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04630:Jak-STAT signaling pathway,hsa05162:Measles,hsa05166:HTLV-I infection,hsa05169:Epstein-Barr virus infection,hsa05203:Viral carcinogenesis,
LCK	LCK proto-oncogene, Src family tyrosine kinase(LCK)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04380:Osteoclast differentiation,hsa04650:Natural killer cell mediated cytotoxicity,hsa04660:T cell receptor signaling pathway,hsa05166:HTLV-I infection,hsa05340:Primary immunodeficiency,
MPL	MPL proto-oncogene, thrombopoietin receptor(MPL)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04630:Jak-STAT signaling pathway,
NLRP3	NLR family pyrin domain containing 3(NLRP3)	Homo sapiens	hsa04621:NOD-like receptor signaling pathway,hsa05133:Pertussis,hsa05164:Influenza A,
PINK1	PTEN induced putative kinase 1(PINK1)	Homo sapiens	hsa05012:Parkinson's disease,
PYCARD	PYD and CARD domain containing(PYCARD)	Homo sapiens	hsa04621:NOD-like receptor signaling pathway,hsa04623:Cytosolic DNA-sensing pathway,hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05134:Legionellosis,hsa05164:Influenza A,
RAB35	RAB35, member RAS oncogene family(RAB35)	Homo sapiens	hsa04144:Endocytosis,
ARHGDIA	Rho GDP dissociation inhibitor alpha(ARHGDIA)	Homo sapiens	hsa04722:Neurotrophin signaling pathway,hsa04962:Vasopressin-regulated water reabsorption,
SH2B3	SH2B adaptor protein 3(SH2B3)	Homo sapiens	hsa04722:Neurotrophin signaling pathway,
SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3(SH3GL3)	Homo sapiens	hsa04144:Endocytosis,
TLX3	T-cell leukemia homeobox 3(TLX3)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
TEK	TEK receptor tyrosine kinase(TEK)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa05323:Rheumatoid arthritis,
TIRAP	TIR domain containing adaptor protein(TIRAP)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa05133:Pertussis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,
TNFRSF10A	TNF receptor superfamily member 10a(TNFRSF10A)	Homo sapiens	hsa04210:Apoptosis,hsa04650:Natural killer cell mediated cytotoxicity,hsa05162:Measles,hsa05164:Influenza A,
UGT1A6	UDP glucuronosyltransferase family 1 member A6(UGT1A6)	Homo sapiens	hsa00040:Pentose and glucuronate interconversions,hsa00053:Ascorbate and aldarate metabolism,hsa00140:Steroid hormone biosynthesis,hsa00830:Retinol metabolism,hsa00860:Porphyrin and chlorophyll metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus(UGT2A1)	Homo sapiens	hsa00040:Pentose and glucuronate interconversions,hsa00053:Ascorbate and aldarate metabolism,hsa00140:Steroid hormone biosynthesis,hsa00830:Retinol metabolism,hsa00860:Porphyrin and chlorophyll metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
UGT2B10	UDP glucuronosyltransferase family 2 member B10(UGT2B10)	Homo sapiens	hsa00040:Pentose and glucuronate interconversions,hsa00053:Ascorbate and aldarate metabolism,hsa00140:Steroid hormone biosynthesis,hsa00830:Retinol metabolism,hsa00860:Porphyrin and chlorophyll metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
UGT2B17	UDP glucuronosyltransferase family 2 member B17(UGT2B17)	Homo sapiens	hsa00040:Pentose and glucuronate interconversions,hsa00053:Ascorbate and aldarate metabolism,hsa00140:Steroid hormone biosynthesis,hsa00830:Retinol metabolism,hsa00860:Porphyrin and chlorophyll metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
UGT2B28	UDP glucuronosyltransferase family 2 member B28(UGT2B28)	Homo sapiens	hsa00040:Pentose and glucuronate interconversions,hsa00053:Ascorbate and aldarate metabolism,hsa00140:Steroid hormone biosynthesis,hsa00830:Retinol metabolism,hsa00860:Porphyrin and chlorophyll metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
UGT2B4	UDP glucuronosyltransferase family 2 member B4(UGT2B4)	Homo sapiens	hsa00040:Pentose and glucuronate interconversions,hsa00053:Ascorbate and aldarate metabolism,hsa00140:Steroid hormone biosynthesis,hsa00830:Retinol metabolism,hsa00860:Porphyrin and chlorophyll metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
UGT2B7	UDP glucuronosyltransferase family 2 member B7(UGT2B7)	Homo sapiens	hsa00040:Pentose and glucuronate interconversions,hsa00053:Ascorbate and aldarate metabolism,hsa00140:Steroid hormone biosynthesis,hsa00830:Retinol metabolism,hsa00860:Porphyrin and chlorophyll metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
WWP2	WW domain containing E3 ubiquitin protein ligase 2(WWP2)	Homo sapiens	hsa04120:Ubiquitin mediated proteolysis,
XIAP	X-linked inhibitor of apoptosis(XIAP)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04120:Ubiquitin mediated proteolysis,hsa04210:Apoptosis,hsa04510:Focal adhesion,hsa05145:Toxoplasmosis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,
ADORA2B	adenosine A2b receptor(ADORA2B)	Homo sapiens	hsa04015:Rap1 signaling pathway,hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04270:Vascular smooth muscle contraction,hsa05034:Alcoholism,
ADIPOR1	adiponectin receptor 1(ADIPOR1)	Homo sapiens	hsa04152:AMPK signaling pathway,hsa04920:Adipocytokine signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),
ADIPOQ	adiponectin, C1Q and collagen domain containing(ADIPOQ)	Homo sapiens	hsa03320:PPAR signaling pathway,hsa04152:AMPK signaling pathway,hsa04920:Adipocytokine signaling pathway,hsa04930:Type II diabetes mellitus,hsa04932:Non-alcoholic fatty liver disease (NAFLD),
AJUBA	ajuba LIM protein(AJUBA)	Homo sapiens	hsa04390:Hippo signaling pathway,
AKR1C4	aldo-keto reductase family 1 member C4(AKR1C4)	Homo sapiens	hsa00120:Primary bile acid biosynthesis,hsa00140:Steroid hormone biosynthesis,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa01100:Metabolic pathways,
ALK	anaplastic lymphoma receptor tyrosine kinase(ALK)	Homo sapiens	hsa05223:Non-small cell lung cancer,
ANGPT1	angiopoietin 1(ANGPT1)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa05323:Rheumatoid arthritis,
ANGPT2	angiopoietin 2(ANGPT2)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,
AMHR2	anti-Mullerian hormone receptor type 2(AMHR2)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,
APAF1	apoptotic peptidase activating factor 1(APAF1)	Homo sapiens	hsa04115:p53 signaling pathway,hsa04210:Apoptosis,hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05014:Amyotrophic lateral sclerosis (ALS),hsa05016:Huntington's disease,hsa05134:Legionellosis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05222:Small cell lung cancer,
BIRC5	baculoviral IAP repeat containing 5(BIRC5)	Homo sapiens	hsa04390:Hippo signaling pathway,hsa05161:Hepatitis B,hsa05200:Pathways in cancer,hsa05210:Colorectal cancer,
BIRC7	baculoviral IAP repeat containing 7(BIRC7)	Homo sapiens	hsa04120:Ubiquitin mediated proteolysis,hsa05145:Toxoplasmosis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,
B3GALT6	beta-1,3-galactosyltransferase 6(B3GALT6)	Homo sapiens	hsa00532:Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate / heparin,hsa01100:Metabolic pathways,
B3GAT1	beta-1,3-glucuronyltransferase 1(B3GAT1)	Homo sapiens	hsa00514:Other types of O-glycan biosynthesis,
B3GAT2	beta-1,3-glucuronyltransferase 2(B3GAT2)	Homo sapiens	hsa00514:Other types of O-glycan biosynthesis,
B3GAT3	beta-1,3-glucuronyltransferase 3(B3GAT3)	Homo sapiens	hsa00532:Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate / heparin,hsa01100:Metabolic pathways,
B4GALT7	beta-1,4-galactosyltransferase 7(B4GALT7)	Homo sapiens	hsa00532:Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate / heparin,hsa01100:Metabolic pathways,
BLVRA	biliverdin reductase A(BLVRA)	Homo sapiens	hsa00860:Porphyrin and chlorophyll metabolism,
BLVRB	biliverdin reductase B(BLVRB)	Homo sapiens	hsa00740:Riboflavin metabolism,hsa00860:Porphyrin and chlorophyll metabolism,
BMP5	bone morphogenetic protein 5(BMP5)	Homo sapiens	hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,
BMP8A	bone morphogenetic protein 8a(BMP8A)	Homo sapiens	hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,
CAPN1	calpain 1(CAPN1)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,hsa04210:Apoptosis,hsa05010:Alzheimer's disease,
CBR3	carbonyl reductase 3(CBR3)	Homo sapiens	hsa00590:Arachidonic acid metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa01100:Metabolic pathways,
CTF1	cardiotrophin 1(CTF1)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04630:Jak-STAT signaling pathway,
CLCF1	cardiotrophin-like cytokine factor 1(CLCF1)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,
CSN2	casein beta(CSN2)	Homo sapiens	hsa04917:Prolactin signaling pathway,
CASP1	caspase 1(CASP1)	Homo sapiens	hsa04621:NOD-like receptor signaling pathway,hsa04623:Cytosolic DNA-sensing pathway,hsa05014:Amyotrophic lateral sclerosis (ALS),hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05134:Legionellosis,hsa05164:Influenza A,
CASP10	caspase 10(CASP10)	Homo sapiens	hsa04210:Apoptosis,hsa04622:RIG-I-like receptor signaling pathway,hsa04668:TNF signaling pathway,hsa05152:Tuberculosis,hsa05161:Hepatitis B,
CASP3	caspase 3(CASP3)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04115:p53 signaling pathway,hsa04210:Apoptosis,hsa04650:Natural killer cell mediated cytotoxicity,hsa04668:TNF signaling pathway,hsa04726:Serotonergic synapse,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05014:Amyotrophic lateral sclerosis (ALS),hsa05016:Huntington's disease,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05133:Pertussis,hsa05134:Legionellosis,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05168:Herpes simplex infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05205:Proteoglycans in cancer,hsa05206:MicroRNAs in cancer,hsa05210:Colorectal cancer,hsa05416:Viral myocarditis,
CASP5	caspase 5(CASP5)	Homo sapiens	hsa04621:NOD-like receptor signaling pathway,
CASP6	caspase 6(CASP6)	Homo sapiens	hsa04210:Apoptosis,
CASP7	caspase 7(CASP7)	Homo sapiens	hsa04210:Apoptosis,hsa04668:TNF signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05133:Pertussis,hsa05134:Legionellosis,
CASP8	caspase 8(CASP8)	Homo sapiens	hsa04115:p53 signaling pathway,hsa04210:Apoptosis,hsa04620:Toll-like receptor signaling pathway,hsa04621:NOD-like receptor signaling pathway,hsa04622:RIG-I-like receptor signaling pathway,hsa04668:TNF signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05016:Huntington's disease,hsa05134:Legionellosis,hsa05142:Chagas disease (American trypanosomiasis),hsa05145:Toxoplasmosis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05168:Herpes simplex infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05416:Viral myocarditis,
CASP9	caspase 9(CASP9)	Homo sapiens	hsa04115:p53 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04210:Apoptosis,hsa04370:VEGF signaling pathway,hsa04919:Thyroid hormone signaling pathway,hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05014:Amyotrophic lateral sclerosis (ALS),hsa05016:Huntington's disease,hsa05134:Legionellosis,hsa05145:Toxoplasmosis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05164:Influenza A,hsa05200:Pathways in cancer,hsa05210:Colorectal cancer,hsa05212:Pancreatic cancer,hsa05213:Endometrial cancer,hsa05215:Prostate cancer,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,hsa05416:Viral myocarditis,
CARD6	caspase recruitment domain family member 6(CARD6)	Homo sapiens	hsa04621:NOD-like receptor signaling pathway,
CARD8	caspase recruitment domain family member 8(CARD8)	Homo sapiens	hsa04621:NOD-like receptor signaling pathway,
