ID	Gene Name	Species	KEGG_PATHWAY
DNMT1	DNA methyltransferase 1(DNMT1)	Homo sapiens	hsa00270:Cysteine and methionine metabolism,hsa01100:Metabolic pathways,hsa05206:MicroRNAs in cancer,
DNMT3A	DNA methyltransferase 3 alpha(DNMT3A)	Homo sapiens	hsa00270:Cysteine and methionine metabolism,hsa01100:Metabolic pathways,hsa05206:MicroRNAs in cancer,
DNMT3B	DNA methyltransferase 3 beta(DNMT3B)	Homo sapiens	hsa00270:Cysteine and methionine metabolism,hsa01100:Metabolic pathways,hsa05206:MicroRNAs in cancer,
POLB	DNA polymerase beta(POLB)	Homo sapiens	hsa03410:Base excision repair,hsa05166:HTLV-I infection,hsa05203:Viral carcinogenesis,
DOT1L	DOT1 like histone lysine methyltransferase(DOT1L)	Homo sapiens	hsa00310:Lysine degradation,hsa05202:Transcriptional misregulation in cancer,
EP300	E1A binding protein p300(EP300)	Homo sapiens	hsa04024:cAMP signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04310:Wnt signaling pathway,hsa04330:Notch signaling pathway,hsa04350:TGF-beta signaling pathway,hsa04520:Adherens junction,hsa04630:Jak-STAT signaling pathway,hsa04720:Long-term potentiation,hsa04916:Melanogenesis,hsa04919:Thyroid hormone signaling pathway,hsa04922:Glucagon signaling pathway,hsa05016:Huntington's disease,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05206:MicroRNAs in cancer,hsa05211:Renal cell carcinoma,hsa05215:Prostate cancer,
E2F1	E2F transcription factor 1(E2F1)	Homo sapiens	hsa04110:Cell cycle,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05212:Pancreatic cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,
E2F2	E2F transcription factor 2(E2F2)	Homo sapiens	hsa04110:Cell cycle,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05212:Pancreatic cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,
E2F3	E2F transcription factor 3(E2F3)	Homo sapiens	hsa04110:Cell cycle,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05212:Pancreatic cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,
E2F4	E2F transcription factor 4(E2F4)	Homo sapiens	hsa04110:Cell cycle,hsa04350:TGF-beta signaling pathway,
E2F5	E2F transcription factor 5(E2F5)	Homo sapiens	hsa04110:Cell cycle,hsa04350:TGF-beta signaling pathway,
ELK1	ELK1, ETS transcription factor(ELK1)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa04510:Focal adhesion,hsa04910:Insulin signaling pathway,hsa04912:GnRH signaling pathway,hsa04921:Oxytocin signaling pathway,hsa05020:Prion diseases,hsa05140:Leishmaniasis,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05205:Proteoglycans in cancer,hsa05213:Endometrial cancer,
ELK4	ELK4, ETS transcription factor(ELK4)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa05166:HTLV-I infection,hsa05202:Transcriptional misregulation in cancer,
EPHB6	EPH receptor B6(EPHB6)	Homo sapiens	hsa04360:Axon guidance,
ERCC5	ERCC excision repair 5, endonuclease(ERCC5)	Homo sapiens	hsa03420:Nucleotide excision repair,
ERG	ERG, ETS transcription factor(ERG)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
ETHE1	ETHE1, persulfide dioxygenase(ETHE1)	Homo sapiens	hsa00920:Sulfur metabolism,
ETS1	ETS proto-oncogene 1, transcription factor(ETS1)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04320:Dorso-ventral axis formation,hsa05166:HTLV-I infection,
ETS2	ETS proto-oncogene 2, transcription factor(ETS2)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04320:Dorso-ventral axis formation,hsa05166:HTLV-I infection,
ETV4	ETS variant 4(ETV4)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
ETV7	ETS variant 7(ETV7)	Homo sapiens	hsa04320:Dorso-ventral axis formation,hsa05202:Transcriptional misregulation in cancer,
EYA1	EYA transcriptional coactivator and phosphatase 1(EYA1)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
FKBP4	FK506 binding protein 4(FKBP4)	Homo sapiens	hsa04915:Estrogen signaling pathway,
FXR1	FMR1 autosomal homolog 1(FXR1)	Homo sapiens	hsa03013:RNA transport,
FOSL1	FOS like 1, AP-1 transcription factor subunit(FOSL1)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04380:Osteoclast differentiation,hsa05166:HTLV-I infection,
FOSL2	FOS like 2, AP-1 transcription factor subunit(FOSL2)	Homo sapiens	hsa04380:Osteoclast differentiation,
FCER2	Fc fragment of IgE receptor II(FCER2)	Homo sapiens	hsa04640:Hematopoietic cell lineage,hsa05169:Epstein-Barr virus infection,
FLI1	Fli-1 proto-oncogene, ETS transcription factor(FLI1)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
FOS	Fos proto-oncogene, AP-1 transcription factor subunit(FOS)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04024:cAMP signaling pathway,hsa04380:Osteoclast differentiation,hsa04620:Toll-like receptor signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04662:B cell receptor signaling pathway,hsa04668:TNF signaling pathway,hsa04713:Circadian entrainment,hsa04725:Cholinergic synapse,hsa04728:Dopaminergic synapse,hsa04915:Estrogen signaling pathway,hsa04917:Prolactin signaling pathway,hsa04921:Oxytocin signaling pathway,hsa05031:Amphetamine addiction,hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05140:Leishmaniasis,hsa05142:Chagas disease (American trypanosomiasis),hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05168:Herpes simplex infection,hsa05200:Pathways in cancer,hsa05210:Colorectal cancer,hsa05231:Choline metabolism in cancer,hsa05323:Rheumatoid arthritis,
FOSB	FosB proto-oncogene, AP-1 transcription factor subunit(FOSB)	Homo sapiens	hsa04380:Osteoclast differentiation,hsa05030:Cocaine addiction,hsa05031:Amphetamine addiction,hsa05034:Alcoholism,
GPS2	G protein pathway suppressor 2(GPS2)	Homo sapiens	hsa05166:HTLV-I infection,
GATA4	GATA binding protein 4(GATA4)	Homo sapiens	hsa04022:cGMP-PKG signaling pathway,hsa04919:Thyroid hormone signaling pathway,
GMDS	GDP-mannose 4,6-dehydratase(GMDS)	Homo sapiens	hsa00051:Fructose and mannose metabolism,hsa00520:Amino sugar and nucleotide sugar metabolism,hsa01100:Metabolic pathways,
GMPPA	GDP-mannose pyrophosphorylase A(GMPPA)	Homo sapiens	hsa00051:Fructose and mannose metabolism,hsa00520:Amino sugar and nucleotide sugar metabolism,hsa01100:Metabolic pathways,
GTF2IRD1	GTF2I repeat domain containing 1(GTF2IRD1)	Homo sapiens	hsa03022:Basal transcription factors,hsa04022:cGMP-PKG signaling pathway,hsa05168:Herpes simplex infection,
H2AFY	H2A histone family member Y(H2AFY)	Homo sapiens	hsa05034:Alcoholism,hsa05322:Systemic lupus erythematosus,
HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2(HERC2)	Homo sapiens	hsa04120:Ubiquitin mediated proteolysis,
HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1(HERC1)	Homo sapiens	hsa04120:Ubiquitin mediated proteolysis,
HNF1A	HNF1 homeobox A(HNF1A)	Homo sapiens	hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04950:Maturity onset diabetes of the young,
HNF1B	HNF1 homeobox B(HNF1B)	Homo sapiens	hsa04950:Maturity onset diabetes of the young,
ISL1	ISL LIM homeobox 1(ISL1)	Homo sapiens	hsa04550:Signaling pathways regulating pluripotency of stem cells,
JUN	Jun proto-oncogene, AP-1 transcription factor subunit(JUN)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04024:cAMP signaling pathway,hsa04310:Wnt signaling pathway,hsa04380:Osteoclast differentiation,hsa04510:Focal adhesion,hsa04620:Toll-like receptor signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04662:B cell receptor signaling pathway,hsa04668:TNF signaling pathway,hsa04722:Neurotrophin signaling pathway,hsa04912:GnRH signaling pathway,hsa04915:Estrogen signaling pathway,hsa04921:Oxytocin signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05030:Cocaine addiction,hsa05031:Amphetamine addiction,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05140:Leishmaniasis,hsa05142:Chagas disease (American trypanosomiasis),hsa05161:Hepatitis B,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05210:Colorectal cancer,hsa05211:Renal cell carcinoma,hsa05231:Choline metabolism in cancer,hsa05321:Inflammatory bowel disease (IBD),hsa05323:Rheumatoid arthritis,
JUNB	JunB proto-oncogene, AP-1 transcription factor subunit(JUNB)	Homo sapiens	hsa04380:Osteoclast differentiation,hsa04668:TNF signaling pathway,
JUND	JunD proto-oncogene, AP-1 transcription factor subunit(JUND)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04380:Osteoclast differentiation,
KLF2	Kruppel like factor 2(KLF2)	Homo sapiens	hsa04068:FoxO signaling pathway,
KLF4	Kruppel like factor 4(KLF4)	Homo sapiens	hsa04550:Signaling pathways regulating pluripotency of stem cells,
LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(LFNG)	Homo sapiens	hsa00514:Other types of O-glycan biosynthesis,hsa04330:Notch signaling pathway,
LDB1	LIM domain binding 1(LDB1)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
LMO2	LIM domain only 2(LMO2)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
LIMD1	LIM domains containing 1(LIMD1)	Homo sapiens	hsa04390:Hippo signaling pathway,
LSM1	LSM1 homolog, mRNA degradation associated(LSM1)	Homo sapiens	hsa03018:RNA degradation,
LYL1	LYL1, basic helix-loop-helix family member(LYL1)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
MPHOSPH6	M-phase phosphoprotein 6(MPHOSPH6)	Homo sapiens	hsa03018:RNA degradation,
MAFA	MAF bZIP transcription factor A(MAFA)	Homo sapiens	hsa04930:Type II diabetes mellitus,hsa04950:Maturity onset diabetes of the young,
MAF	MAF bZIP transcription factor(MAF)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,hsa05321:Inflammatory bowel disease (IBD),
MDM2	MDM2 proto-oncogene(MDM2)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04115:p53 signaling pathway,hsa04120:Ubiquitin mediated proteolysis,hsa04144:Endocytosis,hsa04151:PI3K-Akt signaling pathway,hsa04919:Thyroid hormone signaling pathway,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05202:Transcriptional misregulation in cancer,hsa05203:Viral carcinogenesis,hsa05205:Proteoglycans in cancer,hsa05206:MicroRNAs in cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,
MDM4	MDM4, p53 regulator(MDM4)	Homo sapiens	hsa04115:p53 signaling pathway,hsa05206:MicroRNAs in cancer,
MECOM	MDS1 and EVI1 complex locus(MECOM)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa05200:Pathways in cancer,hsa05220:Chronic myeloid leukemia,
MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(MFNG)	Homo sapiens	hsa00514:Other types of O-glycan biosynthesis,hsa04330:Notch signaling pathway,
MLLT3	MLLT3, super elongation complex subunit(MLLT3)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
MYBL1	MYB proto-oncogene like 1(MYBL1)	Homo sapiens	hsa05166:HTLV-I infection,
MYBL2	MYB proto-oncogene like 2(MYBL2)	Homo sapiens	hsa05166:HTLV-I infection,
MEIS1	Meis homeobox 1(MEIS1)	Homo sapiens	hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa05202:Transcriptional misregulation in cancer,
NANP	N-acetylneuraminic acid phosphatase(NANP)	Homo sapiens	hsa00520:Amino sugar and nucleotide sugar metabolism,hsa01100:Metabolic pathways,
ASAH1	N-acylsphingosine amidohydrolase 1(ASAH1)	Homo sapiens	hsa00600:Sphingolipid metabolism,hsa01100:Metabolic pathways,hsa04071:Sphingolipid signaling pathway,hsa04142:Lysosome,
NDUFB7	NADH:ubiquinone oxidoreductase subunit B7(NDUFB7)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
NDUFS4	NADH:ubiquinone oxidoreductase subunit S4(NDUFS4)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
NDUFA4L2	NDUFA4, mitochondrial complex associated like 2(NDUFA4L2)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
NKX2-2	NK2 homeobox 2(NKX2-2)	Homo sapiens	hsa04950:Maturity onset diabetes of the young,
NKX3-1	NK3 homeobox 1(NKX3-1)	Homo sapiens	hsa05200:Pathways in cancer,hsa05215:Prostate cancer,
NPC1	NPC intracellular cholesterol transporter 1(NPC1)	Homo sapiens	hsa04142:Lysosome,
NUMBL	NUMB like, endocytic adaptor protein(NUMBL)	Homo sapiens	hsa04330:Notch signaling pathway,
NUMB	NUMB, endocytic adaptor protein(NUMB)	Homo sapiens	hsa04330:Notch signaling pathway,
OGT	O-linked N-acetylglucosamine (GlcNAc) transferase(OGT)	Homo sapiens	hsa00514:Other types of O-glycan biosynthesis,hsa04931:Insulin resistance,
OS9	OS9, endoplasmic reticulum lectin(OS9)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,
PBX1	PBX homeobox 1(PBX1)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
PBX3	PBX homeobox 3(PBX3)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
PMS2	PMS1 homolog 2, mismatch repair system component(PMS2)	Homo sapiens	hsa03430:Mismatch repair,hsa03460:Fanconi anemia pathway,
POU5F1	POU class 5 homeobox 1(POU5F1)	Homo sapiens	hsa04550:Signaling pathways regulating pluripotency of stem cells,
PPARGC1A	PPARG coactivator 1 alpha(PPARGC1A)	Homo sapiens	hsa04152:AMPK signaling pathway,hsa04910:Insulin signaling pathway,hsa04920:Adipocytokine signaling pathway,hsa04922:Glucagon signaling pathway,hsa04931:Insulin resistance,hsa05016:Huntington's disease,
PPARGC1B	PPARG coactivator 1 beta(PPARGC1B)	Homo sapiens	hsa04931:Insulin resistance,
PRDM4	PR/SET domain 4(PRDM4)	Homo sapiens	hsa04722:Neurotrophin signaling pathway,
PARK7	Parkinsonism associated deglycase(PARK7)	Homo sapiens	hsa05012:Parkinson's disease,
PIM1	Pim-1 proto-oncogene, serine/threonine kinase(PIM1)	Homo sapiens	hsa04630:Jak-STAT signaling pathway,hsa05206:MicroRNAs in cancer,hsa05221:Acute myeloid leukemia,
RAB13	RAB13, member RAS oncogene family(RAB13)	Homo sapiens	hsa04530:Tight junction,
RAB9A	RAB9A, member RAS oncogene family(RAB9A)	Homo sapiens	hsa05162:Measles,
RAD51B	RAD51 paralog B(RAD51B)	Homo sapiens	hsa03440:Homologous recombination,
RORA	RAR related orphan receptor A(RORA)	Homo sapiens	hsa04710:Circadian rhythm,hsa05321:Inflammatory bowel disease (IBD),
RORB	RAR related orphan receptor B(RORB)	Homo sapiens	hsa04710:Circadian rhythm,
RB1	RB transcriptional corepressor 1(RB1)	Homo sapiens	hsa04110:Cell cycle,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05212:Pancreatic cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,
RBL1	RB transcriptional corepressor like 1(RBL1)	Homo sapiens	hsa04110:Cell cycle,hsa04350:TGF-beta signaling pathway,hsa05203:Viral carcinogenesis,
RBL2	RB transcriptional corepressor like 2(RBL2)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04151:PI3K-Akt signaling pathway,hsa05203:Viral carcinogenesis,
RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(RFNG)	Homo sapiens	hsa00514:Other types of O-glycan biosynthesis,hsa04330:Notch signaling pathway,
RUNX1T1	RUNX1 translocation partner 1(RUNX1T1)	Homo sapiens	hsa05200:Pathways in cancer,hsa05202:Transcriptional misregulation in cancer,hsa05221:Acute myeloid leukemia,
RILP	Rab interacting lysosomal protein(RILP)	Homo sapiens	hsa04145:Phagosome,hsa05132:Salmonella infection,
ARHGAP35	Rho GTPase activating protein 35(ARHGAP35)	Homo sapiens	hsa04510:Focal adhesion,hsa04611:Platelet activation,hsa04670:Leukocyte transendothelial migration,hsa04810:Regulation of actin cytoskeleton,
SKP2	S-phase kinase associated protein 2(SKP2)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04120:Ubiquitin mediated proteolysis,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05222:Small cell lung cancer,
SETDB1	SET domain bifurcated 1(SETDB1)	Homo sapiens	hsa00310:Lysine degradation,hsa04550:Signaling pathways regulating pluripotency of stem cells,
SETD1A	SET domain containing 1A(SETD1A)	Homo sapiens	hsa00310:Lysine degradation,
SIN3A	SIN3 transcription regulator family member A(SIN3A)	Homo sapiens	hsa04919:Thyroid hormone signaling pathway,hsa05016:Huntington's disease,hsa05202:Transcriptional misregulation in cancer,
SKIL	SKI like proto-oncogene(SKIL)	Homo sapiens	hsa04550:Signaling pathways regulating pluripotency of stem cells,
SMAD1	SMAD family member 1(SMAD1)	Homo sapiens	hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa05202:Transcriptional misregulation in cancer,
SMAD2	SMAD family member 2(SMAD2)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04144:Endocytosis,hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,hsa04520:Adherens junction,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa05142:Chagas disease (American trypanosomiasis),hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05210:Colorectal cancer,hsa05212:Pancreatic cancer,hsa05321:Inflammatory bowel disease (IBD),
SMAD3	SMAD family member 3(SMAD3)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04144:Endocytosis,hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,hsa04520:Adherens junction,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa05142:Chagas disease (American trypanosomiasis),hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05210:Colorectal cancer,hsa05212:Pancreatic cancer,hsa05321:Inflammatory bowel disease (IBD),
SMAD4	SMAD family member 4(SMAD4)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04310:Wnt signaling pathway,hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,hsa04520:Adherens junction,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05210:Colorectal cancer,hsa05212:Pancreatic cancer,hsa05220:Chronic myeloid leukemia,
SMAD5	SMAD family member 5(SMAD5)	Homo sapiens	hsa04350:TGF-beta signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,
SMAD6	SMAD family member 6(SMAD6)	Homo sapiens	hsa04350:TGF-beta signaling pathway,
SMAD7	SMAD family member 7(SMAD7)	Homo sapiens	hsa04350:TGF-beta signaling pathway,
SMAD9	SMAD family member 9(SMAD9)	Homo sapiens	hsa04350:TGF-beta signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,
SMURF1	SMAD specific E3 ubiquitin protein ligase 1(SMURF1)	Homo sapiens	hsa04120:Ubiquitin mediated proteolysis,hsa04144:Endocytosis,hsa04350:TGF-beta signaling pathway,
SMURF2	SMAD specific E3 ubiquitin protein ligase 2(SMURF2)	Homo sapiens	hsa04120:Ubiquitin mediated proteolysis,hsa04144:Endocytosis,hsa04350:TGF-beta signaling pathway,
SP100	SP100 nuclear antigen(SP100)	Homo sapiens	hsa05168:Herpes simplex infection,hsa05203:Viral carcinogenesis,
SOX2	SRY-box 2(SOX2)	Homo sapiens	hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,
ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6(ST3GAL6)	Homo sapiens	hsa00601:Glycosphingolipid biosynthesis - lacto and neolacto series,hsa01100:Metabolic pathways,
ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1(ST6GALNAC1)	Homo sapiens	hsa00512:Mucin type O-Glycan biosynthesis,hsa01100:Metabolic pathways,
