ID	Gene Name	Species	KEGG_PATHWAY
ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3(ARAP3)	Homo sapiens	hsa04015:Rap1 signaling pathway,hsa04024:cAMP signaling pathway,hsa04144:Endocytosis,
BRAF	B-Raf proto-oncogene, serine/threonine kinase(BRAF)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04015:Rap1 signaling pathway,hsa04024:cAMP signaling pathway,hsa04062:Chemokine signaling pathway,hsa04068:FoxO signaling pathway,hsa04150:mTOR signaling pathway,hsa04270:Vascular smooth muscle contraction,hsa04510:Focal adhesion,hsa04650:Natural killer cell mediated cytotoxicity,hsa04720:Long-term potentiation,hsa04722:Neurotrophin signaling pathway,hsa04726:Serotonergic synapse,hsa04730:Long-term depression,hsa04810:Regulation of actin cytoskeleton,hsa04910:Insulin signaling pathway,hsa04914:Progesterone-mediated oocyte maturation,hsa05034:Alcoholism,hsa05160:Hepatitis C,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05210:Colorectal cancer,hsa05211:Renal cell carcinoma,hsa05212:Pancreatic cancer,hsa05213:Endometrial cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05216:Thyroid cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,hsa05221:Acute myeloid leukemia,hsa05223:Non-small cell lung cancer,
BMP2K	BMP2 inducible kinase(BMP2K)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
BTK	Bruton tyrosine kinase(BTK)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04380:Osteoclast differentiation,hsa04611:Platelet activation,hsa04662:B cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa05340:Primary immunodeficiency,
EPHA2	EPH receptor A2(EPHA2)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04360:Axon guidance,
EPHA4	EPH receptor A4(EPHA4)	Homo sapiens	hsa04360:Axon guidance,
EPHA5	EPH receptor A5(EPHA5)	Homo sapiens	hsa04360:Axon guidance,
EPHA7	EPH receptor A7(EPHA7)	Homo sapiens	hsa04360:Axon guidance,
EPHA8	EPH receptor A8(EPHA8)	Homo sapiens	hsa04360:Axon guidance,
EPHB1	EPH receptor B1(EPHB1)	Homo sapiens	hsa04360:Axon guidance,
EPHB2	EPH receptor B2(EPHB2)	Homo sapiens	hsa04360:Axon guidance,
EPHB3	EPH receptor B3(EPHB3)	Homo sapiens	hsa04360:Axon guidance,
EPHB4	EPH receptor B4(EPHB4)	Homo sapiens	hsa04360:Axon guidance,
FES	FES proto-oncogene, tyrosine kinase(FES)	Homo sapiens	hsa04360:Axon guidance,
FGR	FGR proto-oncogene, Src family tyrosine kinase(FGR)	Homo sapiens	hsa04062:Chemokine signaling pathway,hsa05169:Epstein-Barr virus infection,
FYN	FYN proto-oncogene, Src family tyrosine kinase(FYN)	Homo sapiens	hsa04071:Sphingolipid signaling pathway,hsa04360:Axon guidance,hsa04380:Osteoclast differentiation,hsa04510:Focal adhesion,hsa04520:Adherens junction,hsa04611:Platelet activation,hsa04650:Natural killer cell mediated cytotoxicity,hsa04660:T cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04725:Cholinergic synapse,hsa05020:Prion diseases,hsa05130:Pathogenic Escherichia coli infection,hsa05162:Measles,hsa05416:Viral myocarditis,
FCGR2A	Fc fragment of IgG receptor IIa(FCGR2A)	Homo sapiens	hsa04145:Phagosome,hsa04380:Osteoclast differentiation,hsa04611:Platelet activation,hsa04666:Fc gamma R-mediated phagocytosis,hsa05140:Leishmaniasis,hsa05150:Staphylococcus aureus infection,hsa05152:Tuberculosis,hsa05322:Systemic lupus erythematosus,
FCGR2B	Fc fragment of IgG receptor IIb(FCGR2B)	Homo sapiens	hsa04145:Phagosome,hsa04380:Osteoclast differentiation,hsa04662:B cell receptor signaling pathway,hsa04666:Fc gamma R-mediated phagocytosis,hsa05150:Staphylococcus aureus infection,hsa05152:Tuberculosis,hsa05162:Measles,
HCK	HCK proto-oncogene, Src family tyrosine kinase(HCK)	Homo sapiens	hsa04062:Chemokine signaling pathway,hsa04666:Fc gamma R-mediated phagocytosis,
JAK1	Janus kinase 1(JAK1)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa04380:Osteoclast differentiation,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04630:Jak-STAT signaling pathway,hsa05140:Leishmaniasis,hsa05145:Toxoplasmosis,hsa05152:Tuberculosis,hsa05160:Hepatitis C,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05212:Pancreatic cancer,
JAK2	Janus kinase 2(JAK2)	Homo sapiens	hsa04062:Chemokine signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04630:Jak-STAT signaling pathway,hsa04725:Cholinergic synapse,hsa04917:Prolactin signaling pathway,hsa04920:Adipocytokine signaling pathway,hsa05140:Leishmaniasis,hsa05145:Toxoplasmosis,hsa05152:Tuberculosis,hsa05162:Measles,hsa05164:Influenza A,hsa05168:Herpes simplex infection,
KIT	KIT proto-oncogene receptor tyrosine kinase(KIT)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04060:Cytokine-cytokine receptor interaction,hsa04144:Endocytosis,hsa04151:PI3K-Akt signaling pathway,hsa04640:Hematopoietic cell lineage,hsa04916:Melanogenesis,hsa05200:Pathways in cancer,hsa05221:Acute myeloid leukemia,hsa05230:Central carbon metabolism in cancer,
LIMK1	LIM domain kinase 1(LIMK1)	Homo sapiens	hsa04360:Axon guidance,hsa04666:Fc gamma R-mediated phagocytosis,hsa04810:Regulation of actin cytoskeleton,
LIMK2	LIM domain kinase 2(LIMK2)	Homo sapiens	hsa04360:Axon guidance,hsa04666:Fc gamma R-mediated phagocytosis,hsa04810:Regulation of actin cytoskeleton,
MKNK1	MAP kinase interacting serine/threonine kinase 1(MKNK1)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04910:Insulin signaling pathway,
MLLT1	MLLT1, super elongation complex subunit(MLLT1)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
MNAT1	MNAT1, CDK activating kinase assembly factor(MNAT1)	Homo sapiens	hsa03022:Basal transcription factors,hsa03420:Nucleotide excision repair,
NCK2	NCK adaptor protein 2(NCK2)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04360:Axon guidance,hsa04660:T cell receptor signaling pathway,hsa05130:Pathogenic Escherichia coli infection,
RHEB	Ras homolog enriched in brain(RHEB)	Homo sapiens	hsa04150:mTOR signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04152:AMPK signaling pathway,hsa04910:Insulin signaling pathway,hsa04919:Thyroid hormone signaling pathway,hsa05231:Choline metabolism in cancer,
ARHGAP10	Rho GTPase activating protein 10(ARHGAP10)	Homo sapiens	hsa05100:Bacterial invasion of epithelial cells,
ROCK2	Rho associated coiled-coil containing protein kinase 2(ROCK2)	Homo sapiens	hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04062:Chemokine signaling pathway,hsa04071:Sphingolipid signaling pathway,hsa04270:Vascular smooth muscle contraction,hsa04310:Wnt signaling pathway,hsa04360:Axon guidance,hsa04510:Focal adhesion,hsa04611:Platelet activation,hsa04670:Leukocyte transendothelial migration,hsa04810:Regulation of actin cytoskeleton,hsa04921:Oxytocin signaling pathway,hsa05130:Pathogenic Escherichia coli infection,hsa05131:Shigellosis,hsa05132:Salmonella infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,
SH2B2	SH2B adaptor protein 2(SH2B2)	Homo sapiens	hsa04722:Neurotrophin signaling pathway,hsa04910:Insulin signaling pathway,
SHC1	SHC adaptor protein 1(SHC1)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa04062:Chemokine signaling pathway,hsa04510:Focal adhesion,hsa04650:Natural killer cell mediated cytotoxicity,hsa04722:Neurotrophin signaling pathway,hsa04910:Insulin signaling pathway,hsa04915:Estrogen signaling pathway,hsa04917:Prolactin signaling pathway,hsa05034:Alcoholism,hsa05100:Bacterial invasion of epithelial cells,hsa05206:MicroRNAs in cancer,hsa05214:Glioma,hsa05220:Chronic myeloid leukemia,
SRC	SRC proto-oncogene, non-receptor tyrosine kinase(SRC)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04015:Rap1 signaling pathway,hsa04062:Chemokine signaling pathway,hsa04144:Endocytosis,hsa04370:VEGF signaling pathway,hsa04510:Focal adhesion,hsa04520:Adherens junction,hsa04530:Tight junction,hsa04540:Gap junction,hsa04611:Platelet activation,hsa04727:GABAergic synapse,hsa04750:Inflammatory mediator regulation of TRP channels,hsa04810:Regulation of actin cytoskeleton,hsa04912:GnRH signaling pathway,hsa04915:Estrogen signaling pathway,hsa04917:Prolactin signaling pathway,hsa04919:Thyroid hormone signaling pathway,hsa04921:Oxytocin signaling pathway,hsa05100:Bacterial invasion of epithelial cells,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05131:Shigellosis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05203:Viral carcinogenesis,hsa05205:Proteoglycans in cancer,hsa05219:Bladder cancer,
SLK	STE20 like kinase(SLK)	Homo sapiens	hsa04114:Oocyte meiosis,
SSB	Sjogren syndrome antigen B(SSB)	Homo sapiens	hsa05322:Systemic lupus erythematosus,
TBK1	TANK binding kinase 1(TBK1)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa04622:RIG-I-like receptor signaling pathway,hsa04623:Cytosolic DNA-sensing pathway,hsa05160:Hepatitis C,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,
TAOK1	TAO kinase 1(TAOK1)	Homo sapiens	hsa04010:MAPK signaling pathway,
TAOK3	TAO kinase 3(TAOK3)	Homo sapiens	hsa04010:MAPK signaling pathway,
TBKBP1	TBK1 binding protein 1(TBKBP1)	Homo sapiens	hsa04622:RIG-I-like receptor signaling pathway,
TNFRSF14	TNF receptor superfamily member 14(TNFRSF14)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa05168:Herpes simplex infection,
TANK	TRAF family member associated NFKB activator(TANK)	Homo sapiens	hsa04622:RIG-I-like receptor signaling pathway,
WEE1	WEE1 G2 checkpoint kinase(WEE1)	Homo sapiens	hsa04110:Cell cycle,
YES1	YES proto-oncogene 1, Src family tyrosine kinase(YES1)	Homo sapiens	hsa04520:Adherens junction,hsa04530:Tight junction,
ACTN4	actinin alpha 4(ACTN4)	Homo sapiens	hsa04510:Focal adhesion,hsa04520:Adherens junction,hsa04530:Tight junction,hsa04670:Leukocyte transendothelial migration,hsa04810:Regulation of actin cytoskeleton,hsa05146:Amoebiasis,hsa05203:Viral carcinogenesis,hsa05322:Systemic lupus erythematosus,hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC),
ATF2	activating transcription factor 2(ATF2)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04668:TNF signaling pathway,hsa04728:Dopaminergic synapse,hsa04911:Insulin secretion,hsa04915:Estrogen signaling pathway,hsa04918:Thyroid hormone synthesis,hsa04922:Glucagon signaling pathway,hsa04925:Aldosterone synthesis and secretion,hsa05030:Cocaine addiction,hsa05031:Amphetamine addiction,hsa05034:Alcoholism,hsa05161:Hepatitis B,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05169:Epstein-Barr virus infection,hsa05203:Viral carcinogenesis,
ACVR1	activin A receptor type 1(ACVR1)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,
ACVR1B	activin A receptor type 1B(ACVR1B)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,
ACVR2A	activin A receptor type 2A(ACVR2A)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,
ACVR2B	activin A receptor type 2B(ACVR2B)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,
ACOX3	acyl-CoA oxidase 3, pristanoyl(ACOX3)	Homo sapiens	hsa00071:Fatty acid degradation,hsa00592:alpha-Linolenic acid metabolism,hsa01040:Biosynthesis of unsaturated fatty acids,hsa01100:Metabolic pathways,hsa01212:Fatty acid metabolism,hsa03320:PPAR signaling pathway,hsa04024:cAMP signaling pathway,hsa04146:Peroxisome,
AGK	acylglycerol kinase(AGK)	Homo sapiens	hsa00561:Glycerolipid metabolism,hsa01100:Metabolic pathways,
AP2A1	adaptor related protein complex 2 alpha 1 subunit(AP2A1)	Homo sapiens	hsa04144:Endocytosis,hsa04721:Synaptic vesicle cycle,hsa04961:Endocrine and other factor-regulated calcium reabsorption,hsa05016:Huntington's disease,
AP2B1	adaptor related protein complex 2 beta 1 subunit(AP2B1)	Homo sapiens	hsa04144:Endocytosis,hsa04721:Synaptic vesicle cycle,hsa04961:Endocrine and other factor-regulated calcium reabsorption,hsa05016:Huntington's disease,
AP2M1	adaptor related protein complex 2 mu 1 subunit(AP2M1)	Homo sapiens	hsa04144:Endocytosis,hsa04721:Synaptic vesicle cycle,hsa04961:Endocrine and other factor-regulated calcium reabsorption,hsa05016:Huntington's disease,
ADK	adenosine kinase(ADK)	Homo sapiens	hsa00230:Purine metabolism,hsa01100:Metabolic pathways,
ALDOA	aldolase, fructose-bisphosphate A(ALDOA)	Homo sapiens	hsa00010:Glycolysis / Gluconeogenesis,hsa00030:Pentose phosphate pathway,hsa00051:Fructose and mannose metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,hsa01230:Biosynthesis of amino acids,
ANAPC5	anaphase promoting complex subunit 5(ANAPC5)	Homo sapiens	hsa04110:Cell cycle,hsa04114:Oocyte meiosis,hsa04120:Ubiquitin mediated proteolysis,hsa04914:Progesterone-mediated oocyte maturation,hsa05166:HTLV-I infection,
ANAPC7	anaphase promoting complex subunit 7(ANAPC7)	Homo sapiens	hsa04110:Cell cycle,hsa04114:Oocyte meiosis,hsa04120:Ubiquitin mediated proteolysis,hsa04914:Progesterone-mediated oocyte maturation,hsa05166:HTLV-I infection,
AURKA	aurora kinase A(AURKA)	Homo sapiens	hsa04114:Oocyte meiosis,
BMPR1A	bone morphogenetic protein receptor type 1A(BMPR1A)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,
CSK	c-src tyrosine kinase(CSK)	Homo sapiens	hsa05120:Epithelial cell signaling in Helicobacter pylori infection,
CAMK2A	calcium/calmodulin dependent protein kinase II alpha(CAMK2A)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04020:Calcium signaling pathway,hsa04024:cAMP signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04114:Oocyte meiosis,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04310:Wnt signaling pathway,hsa04713:Circadian entrainment,hsa04720:Long-term potentiation,hsa04722:Neurotrophin signaling pathway,hsa04725:Cholinergic synapse,hsa04728:Dopaminergic synapse,hsa04740:Olfactory transduction,hsa04750:Inflammatory mediator regulation of TRP channels,hsa04911:Insulin secretion,hsa04912:GnRH signaling pathway,hsa04916:Melanogenesis,hsa04921:Oxytocin signaling pathway,hsa04922:Glucagon signaling pathway,hsa04925:Aldosterone synthesis and secretion,hsa04971:Gastric acid secretion,hsa05031:Amphetamine addiction,hsa05152:Tuberculosis,hsa05205:Proteoglycans in cancer,hsa05214:Glioma,
CAMK2B	calcium/calmodulin dependent protein kinase II beta(CAMK2B)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04020:Calcium signaling pathway,hsa04024:cAMP signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04114:Oocyte meiosis,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04310:Wnt signaling pathway,hsa04713:Circadian entrainment,hsa04720:Long-term potentiation,hsa04722:Neurotrophin signaling pathway,hsa04725:Cholinergic synapse,hsa04728:Dopaminergic synapse,hsa04740:Olfactory transduction,hsa04750:Inflammatory mediator regulation of TRP channels,hsa04911:Insulin secretion,hsa04912:GnRH signaling pathway,hsa04916:Melanogenesis,hsa04921:Oxytocin signaling pathway,hsa04922:Glucagon signaling pathway,hsa04925:Aldosterone synthesis and secretion,hsa04971:Gastric acid secretion,hsa05031:Amphetamine addiction,hsa05152:Tuberculosis,hsa05205:Proteoglycans in cancer,hsa05214:Glioma,
CAMK2D	calcium/calmodulin dependent protein kinase II delta(CAMK2D)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04020:Calcium signaling pathway,hsa04024:cAMP signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04114:Oocyte meiosis,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04310:Wnt signaling pathway,hsa04713:Circadian entrainment,hsa04720:Long-term potentiation,hsa04722:Neurotrophin signaling pathway,hsa04725:Cholinergic synapse,hsa04728:Dopaminergic synapse,hsa04740:Olfactory transduction,hsa04750:Inflammatory mediator regulation of TRP channels,hsa04911:Insulin secretion,hsa04912:GnRH signaling pathway,hsa04916:Melanogenesis,hsa04921:Oxytocin signaling pathway,hsa04922:Glucagon signaling pathway,hsa04925:Aldosterone synthesis and secretion,hsa04971:Gastric acid secretion,hsa05031:Amphetamine addiction,hsa05152:Tuberculosis,hsa05205:Proteoglycans in cancer,hsa05214:Glioma,
CAMK2G	calcium/calmodulin dependent protein kinase II gamma(CAMK2G)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04020:Calcium signaling pathway,hsa04024:cAMP signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04114:Oocyte meiosis,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04310:Wnt signaling pathway,hsa04713:Circadian entrainment,hsa04720:Long-term potentiation,hsa04722:Neurotrophin signaling pathway,hsa04725:Cholinergic synapse,hsa04728:Dopaminergic synapse,hsa04740:Olfactory transduction,hsa04750:Inflammatory mediator regulation of TRP channels,hsa04911:Insulin secretion,hsa04912:GnRH signaling pathway,hsa04916:Melanogenesis,hsa04921:Oxytocin signaling pathway,hsa04922:Glucagon signaling pathway,hsa04925:Aldosterone synthesis and secretion,hsa04971:Gastric acid secretion,hsa05031:Amphetamine addiction,hsa05152:Tuberculosis,hsa05205:Proteoglycans in cancer,hsa05214:Glioma,
CAMKK2	calcium/calmodulin dependent protein kinase kinase 2(CAMKK2)	Homo sapiens	hsa04152:AMPK signaling pathway,hsa04920:Adipocytokine signaling pathway,hsa04921:Oxytocin signaling pathway,hsa05034:Alcoholism,
CHST15	carbohydrate sulfotransferase 15(CHST15)	Homo sapiens	hsa00532:Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,
CSNK1A1L	casein kinase 1 alpha 1 like(CSNK1A1L)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04340:Hedgehog signaling pathway,
CSNK1A1	casein kinase 1 alpha 1(CSNK1A1)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04340:Hedgehog signaling pathway,
CSNK1D	casein kinase 1 delta(CSNK1D)	Homo sapiens	hsa04340:Hedgehog signaling pathway,hsa04390:Hippo signaling pathway,hsa04540:Gap junction,hsa04710:Circadian rhythm,
CSNK1E	casein kinase 1 epsilon(CSNK1E)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04310:Wnt signaling pathway,hsa04340:Hedgehog signaling pathway,hsa04390:Hippo signaling pathway,hsa04710:Circadian rhythm,
CSNK1G1	casein kinase 1 gamma 1(CSNK1G1)	Homo sapiens	hsa04340:Hedgehog signaling pathway,
CSNK1G2	casein kinase 1 gamma 2(CSNK1G2)	Homo sapiens	hsa04340:Hedgehog signaling pathway,
CSNK1G3	casein kinase 1 gamma 3(CSNK1G3)	Homo sapiens	hsa04340:Hedgehog signaling pathway,
CSNK2A1	casein kinase 2 alpha 1(CSNK2A1)	Homo sapiens	hsa03008:Ribosome biogenesis in eukaryotes,hsa04064:NF-kappa B signaling pathway,hsa04310:Wnt signaling pathway,hsa04520:Adherens junction,hsa04530:Tight junction,hsa05162:Measles,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,
CSNK2A2	casein kinase 2 alpha 2(CSNK2A2)	Homo sapiens	hsa03008:Ribosome biogenesis in eukaryotes,hsa04064:NF-kappa B signaling pathway,hsa04310:Wnt signaling pathway,hsa04520:Adherens junction,hsa04530:Tight junction,hsa05162:Measles,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,
CSNK2B	casein kinase 2 beta(CSNK2B)	Homo sapiens	hsa03008:Ribosome biogenesis in eukaryotes,hsa04064:NF-kappa B signaling pathway,hsa04310:Wnt signaling pathway,hsa04520:Adherens junction,hsa04530:Tight junction,hsa05162:Measles,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,
CARD11	caspase recruitment domain family member 11(CARD11)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04662:B cell receptor signaling pathway,
CTSF	cathepsin F(CTSF)	Homo sapiens	hsa04142:Lysosome,
CHAT	choline O-acetyltransferase(CHAT)	Homo sapiens	hsa00564:Glycerophospholipid metabolism,hsa04725:Cholinergic synapse,
COQ5	coenzyme Q5, methyltransferase(COQ5)	Homo sapiens	hsa00130:Ubiquinone and other terpenoid-quinone biosynthesis,hsa01100:Metabolic pathways,
COL5A2	collagen type V alpha 2 chain(COL5A2)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa04611:Platelet activation,hsa04974:Protein digestion and absorption,hsa05146:Amoebiasis,
COL11A1	collagen type XI alpha 1 chain(COL11A1)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa04611:Platelet activation,hsa04974:Protein digestion and absorption,hsa05146:Amoebiasis,
CCNH	cyclin H(CCNH)	Homo sapiens	hsa03022:Basal transcription factors,hsa03420:Nucleotide excision repair,hsa04110:Cell cycle,
CDK1	cyclin dependent kinase 1(CDK1)	Homo sapiens	hsa04110:Cell cycle,hsa04114:Oocyte meiosis,hsa04115:p53 signaling pathway,hsa04540:Gap junction,hsa04914:Progesterone-mediated oocyte maturation,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,hsa05203:Viral carcinogenesis,
CDK2	cyclin dependent kinase 2(CDK2)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04114:Oocyte meiosis,hsa04115:p53 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04914:Progesterone-mediated oocyte maturation,hsa05161:Hepatitis B,hsa05162:Measles,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05215:Prostate cancer,hsa05222:Small cell lung cancer,
