ID	Gene Name	Species	KEGG_PATHWAY
GRK7	G protein-coupled receptor kinase 7(GRK7)	Homo sapiens	hsa04062:Chemokine signaling pathway,hsa04144:Endocytosis,hsa04744:Phototransduction,
GPSM1	G-protein signaling modulator 1(GPSM1)	Homo sapiens	hsa05030:Cocaine addiction,
HBS1L	HBS1 like translational GTPase(HBS1L)	Homo sapiens	hsa03015:mRNA surveillance pathway,hsa05134:Legionellosis,
IQSEC3	IQ motif and Sec7 domain 3(IQSEC3)	Homo sapiens	hsa04144:Endocytosis,
KLF3	Kruppel like factor 3(KLF3)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
LRP5	LDL receptor related protein 5(LRP5)	Homo sapiens	hsa04310:Wnt signaling pathway,
LRP6	LDL receptor related protein 6(LRP6)	Homo sapiens	hsa04310:Wnt signaling pathway,
LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(LFNG)	Homo sapiens	hsa00514:Other types of O-glycan biosynthesis,hsa04330:Notch signaling pathway,
MAD1L1	MAD1 mitotic arrest deficient like 1(MAD1L1)	Homo sapiens	hsa04110:Cell cycle,hsa04914:Progesterone-mediated oocyte maturation,hsa05203:Viral carcinogenesis,
MAGED1	MAGE family member D1(MAGED1)	Homo sapiens	hsa04722:Neurotrophin signaling pathway,
MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(MFNG)	Homo sapiens	hsa00514:Other types of O-glycan biosynthesis,hsa04330:Notch signaling pathway,
MPV17	MPV17, mitochondrial inner membrane protein(MPV17)	Homo sapiens	hsa04146:Peroxisome,
NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7(NDUFS7)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
NDUFA6	NADH:ubiquinone oxidoreductase subunit A6(NDUFA6)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
NDUFB1	NADH:ubiquinone oxidoreductase subunit B1(NDUFB1)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
NDUFB6	NADH:ubiquinone oxidoreductase subunit B6(NDUFB6)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
NDUFC2	NADH:ubiquinone oxidoreductase subunit C2(NDUFC2)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
NDUFS5	NADH:ubiquinone oxidoreductase subunit S5(NDUFS5)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
NDC1	NDC1 transmembrane nucleoporin(NDC1)	Homo sapiens	hsa03013:RNA transport,
NUMBL	NUMB like, endocytic adaptor protein(NUMBL)	Homo sapiens	hsa04330:Notch signaling pathway,
POM121	POM121 transmembrane nucleoporin(POM121)	Homo sapiens	hsa03013:RNA transport,
POP1	POP1 homolog, ribonuclease P/MRP subunit(POP1)	Homo sapiens	hsa03008:Ribosome biogenesis in eukaryotes,hsa03013:RNA transport,
POP4	POP4 homolog, ribonuclease P/MRP subunit(POP4)	Homo sapiens	hsa03008:Ribosome biogenesis in eukaryotes,hsa03013:RNA transport,
POP5	POP5 homolog, ribonuclease P/MRP subunit(POP5)	Homo sapiens	hsa03008:Ribosome biogenesis in eukaryotes,hsa03013:RNA transport,
POP7	POP7 homolog, ribonuclease P/MRP subunit(POP7)	Homo sapiens	hsa03008:Ribosome biogenesis in eukaryotes,hsa03013:RNA transport,
PIM2	Pim-2 proto-oncogene, serine/threonine kinase(PIM2)	Homo sapiens	hsa05221:Acute myeloid leukemia,
RAB11FIP4	RAB11 family interacting protein 4(RAB11FIP4)	Homo sapiens	hsa04144:Endocytosis,
RAB11FIP5	RAB11 family interacting protein 5(RAB11FIP5)	Homo sapiens	hsa04144:Endocytosis,
RAD54B	RAD54 homolog B (S. cerevisiae)(RAD54B)	Homo sapiens	hsa03440:Homologous recombination,
RBMXL1	RNA binding motif protein, X-linked like 1(RBMXL1)	Homo sapiens	hsa03040:Spliceosome,
SEC24C	SEC24 homolog C, COPII coat complex component(SEC24C)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,
SEC24D	SEC24 homolog D, COPII coat complex component(SEC24D)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,
SIX1	SIX homeobox 1(SIX1)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
SIX4	SIX homeobox 4(SIX4)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
STT3A	STT3A, catalytic subunit of the oligosaccharyltransferase complex(STT3A)	Homo sapiens	hsa00510:N-Glycan biosynthesis,hsa01100:Metabolic pathways,hsa04141:Protein processing in endoplasmic reticulum,
SEC23B	Sec23 homolog B, coat complex II component(SEC23B)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,
SAP18	Sin3A associated protein 18(SAP18)	Homo sapiens	hsa03013:RNA transport,hsa03015:mRNA surveillance pathway,
UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)(UPF2)	Homo sapiens	hsa03013:RNA transport,hsa03015:mRNA surveillance pathway,
UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)(UPF3A)	Homo sapiens	hsa03013:RNA transport,hsa03015:mRNA surveillance pathway,
UPF3B	UPF3 regulator of nonsense transcripts homolog B (yeast)(UPF3B)	Homo sapiens	hsa03013:RNA transport,hsa03015:mRNA surveillance pathway,
VANGL1	VANGL planar cell polarity protein 1(VANGL1)	Homo sapiens	hsa04310:Wnt signaling pathway,
VANGL2	VANGL planar cell polarity protein 2(VANGL2)	Homo sapiens	hsa04310:Wnt signaling pathway,
WIF1	WNT inhibitory factor 1(WIF1)	Homo sapiens	hsa04310:Wnt signaling pathway,
WNT1	Wnt family member 1(WNT1)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT10A	Wnt family member 10A(WNT10A)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT10B	Wnt family member 10B(WNT10B)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT11	Wnt family member 11(WNT11)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT2	Wnt family member 2(WNT2)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT2B	Wnt family member 2B(WNT2B)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT3	Wnt family member 3(WNT3)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05206:MicroRNAs in cancer,hsa05217:Basal cell carcinoma,
WNT3A	Wnt family member 3A(WNT3A)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05206:MicroRNAs in cancer,hsa05217:Basal cell carcinoma,
WNT4	Wnt family member 4(WNT4)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa04919:Thyroid hormone signaling pathway,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT5A	Wnt family member 5A(WNT5A)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT5B	Wnt family member 5B(WNT5B)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT6	Wnt family member 6(WNT6)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT7A	Wnt family member 7A(WNT7A)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT7B	Wnt family member 7B(WNT7B)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT8A	Wnt family member 8A(WNT8A)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT8B	Wnt family member 8B(WNT8B)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT9A	Wnt family member 9A(WNT9A)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT9B	Wnt family member 9B(WNT9B)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
XRCC1	X-ray repair cross complementing 1(XRCC1)	Homo sapiens	hsa03410:Base excision repair,
XRCC4	X-ray repair cross complementing 4(XRCC4)	Homo sapiens	hsa03450:Non-homologous end-joining,
ZFP36	ZFP36 ring finger protein(ZFP36)	Homo sapiens	hsa05166:HTLV-I infection,
ABI2	abl interactor 2(ABI2)	Homo sapiens	hsa04810:Regulation of actin cytoskeleton,
ABLIM2	actin binding LIM protein family member 2(ABLIM2)	Homo sapiens	hsa04360:Axon guidance,
ACOT1	acyl-CoA thioesterase 1(ACOT1)	Homo sapiens	hsa00062:Fatty acid elongation,hsa01040:Biosynthesis of unsaturated fatty acids,hsa01100:Metabolic pathways,
ACOT2	acyl-CoA thioesterase 2(ACOT2)	Homo sapiens	hsa00062:Fatty acid elongation,hsa01040:Biosynthesis of unsaturated fatty acids,hsa01100:Metabolic pathways,
ACOT4	acyl-CoA thioesterase 4(ACOT4)	Homo sapiens	hsa00062:Fatty acid elongation,hsa01040:Biosynthesis of unsaturated fatty acids,hsa01100:Metabolic pathways,
ADIPOQ	adiponectin, C1Q and collagen domain containing(ADIPOQ)	Homo sapiens	hsa03320:PPAR signaling pathway,hsa04152:AMPK signaling pathway,hsa04920:Adipocytokine signaling pathway,hsa04930:Type II diabetes mellitus,hsa04932:Non-alcoholic fatty liver disease (NAFLD),
ALDH1L1	aldehyde dehydrogenase 1 family member L1(ALDH1L1)	Homo sapiens	hsa00670:One carbon pool by folate,
AKR7A2	aldo-keto reductase family 7 member A2(AKR7A2)	Homo sapiens	hsa00980:Metabolism of xenobiotics by cytochrome P450,
AMT	aminomethyltransferase(AMT)	Homo sapiens	hsa00260:Glycine, serine and threonine metabolism,hsa00630:Glyoxylate and dicarboxylate metabolism,hsa00670:One carbon pool by folate,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,
ANAPC11	anaphase promoting complex subunit 11(ANAPC11)	Homo sapiens	hsa04110:Cell cycle,hsa04114:Oocyte meiosis,hsa04120:Ubiquitin mediated proteolysis,hsa04914:Progesterone-mediated oocyte maturation,hsa05166:HTLV-I infection,
APH1A	aph-1 homolog A, gamma-secretase subunit(APH1A)	Homo sapiens	hsa04330:Notch signaling pathway,hsa05010:Alzheimer's disease,
APH1B	aph-1 homolog B, gamma-secretase subunit(APH1B)	Homo sapiens	hsa04330:Notch signaling pathway,hsa05010:Alzheimer's disease,
AFMID	arylformamidase(AFMID)	Homo sapiens	hsa00380:Tryptophan metabolism,hsa00630:Glyoxylate and dicarboxylate metabolism,hsa01100:Metabolic pathways,
ATG12	autophagy related 12(ATG12)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04140:Regulation of autophagy,hsa04622:RIG-I-like receptor signaling pathway,
CALB1	calbindin 1(CALB1)	Homo sapiens	hsa04961:Endocrine and other factor-regulated calcium reabsorption,
CHST11	carbohydrate sulfotransferase 11(CHST11)	Homo sapiens	hsa00532:Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,
CMBL	carboxymethylenebutenolidase homolog(CMBL)	Homo sapiens	hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
CARNS1	carnosine synthase 1(CARNS1)	Homo sapiens	hsa00330:Arginine and proline metabolism,hsa00340:Histidine metabolism,hsa00410:beta-Alanine metabolism,
CARD9	caspase recruitment domain family member 9(CARD9)	Homo sapiens	hsa04621:NOD-like receptor signaling pathway,hsa05152:Tuberculosis,
CTSE	cathepsin E(CTSE)	Homo sapiens	hsa04142:Lysosome,
CDC26	cell division cycle 26(CDC26)	Homo sapiens	hsa04110:Cell cycle,hsa04114:Oocyte meiosis,hsa04120:Ubiquitin mediated proteolysis,hsa04914:Progesterone-mediated oocyte maturation,hsa05166:HTLV-I infection,
CER1	cerberus 1, DAN family BMP antagonist(CER1)	Homo sapiens	hsa04310:Wnt signaling pathway,
CHRNB1	cholinergic receptor nicotinic beta 1 subunit(CHRNB1)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,
CLDN2	claudin 2(CLDN2)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04530:Tight junction,hsa04670:Leukocyte transendothelial migration,hsa05160:Hepatitis C,
CSTF2T	cleavage stimulation factor subunit 2 tau variant(CSTF2T)	Homo sapiens	hsa03015:mRNA surveillance pathway,
CPLX2	complexin 2(CPLX2)	Homo sapiens	hsa04721:Synaptic vesicle cycle,
CXADR	coxsackie virus and adenovirus receptor(CXADR)	Homo sapiens	hsa05416:Viral myocarditis,
CRY1	cryptochrome circadian clock 1(CRY1)	Homo sapiens	hsa04710:Circadian rhythm,
DCTD	dCMP deaminase(DCTD)	Homo sapiens	hsa00240:Pyrimidine metabolism,hsa01100:Metabolic pathways,
DCP1B	decapping mRNA 1B(DCP1B)	Homo sapiens	hsa03018:RNA degradation,
DLL1	delta like canonical Notch ligand 1(DLL1)	Homo sapiens	hsa04330:Notch signaling pathway,
DLL4	delta like canonical Notch ligand 4(DLL4)	Homo sapiens	hsa04330:Notch signaling pathway,
DTX1	deltex E3 ubiquitin ligase 1(DTX1)	Homo sapiens	hsa04330:Notch signaling pathway,
DTX3	deltex E3 ubiquitin ligase 3(DTX3)	Homo sapiens	hsa04330:Notch signaling pathway,
DTX3L	deltex E3 ubiquitin ligase 3L(DTX3L)	Homo sapiens	hsa04330:Notch signaling pathway,
DHH	desert hedgehog(DHH)	Homo sapiens	hsa04340:Hedgehog signaling pathway,
DKK1	dickkopf WNT signaling pathway inhibitor 1(DKK1)	Homo sapiens	hsa04310:Wnt signaling pathway,
DKK2	dickkopf WNT signaling pathway inhibitor 2(DKK2)	Homo sapiens	hsa04310:Wnt signaling pathway,
DKK4	dickkopf WNT signaling pathway inhibitor 4(DKK4)	Homo sapiens	hsa04310:Wnt signaling pathway,
DAAM1	dishevelled associated activator of morphogenesis 1(DAAM1)	Homo sapiens	hsa04310:Wnt signaling pathway,
DVL1	dishevelled segment polarity protein 1(DVL1)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04330:Notch signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05217:Basal cell carcinoma,
DVL2	dishevelled segment polarity protein 2(DVL2)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04330:Notch signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05217:Basal cell carcinoma,
DVL3	dishevelled segment polarity protein 3(DVL3)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04330:Notch signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05217:Basal cell carcinoma,
DCTN5	dynactin subunit 5(DCTN5)	Homo sapiens	hsa04962:Vasopressin-regulated water reabsorption,
DCTN6	dynactin subunit 6(DCTN6)	Homo sapiens	hsa04962:Vasopressin-regulated water reabsorption,
DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2(DYNC1LI2)	Homo sapiens	hsa04145:Phagosome,hsa04962:Vasopressin-regulated water reabsorption,hsa05132:Salmonella infection,
ERN1	endoplasmic reticulum to nucleus signaling 1(ERN1)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,
EDN1	endothelin 1(EDN1)	Homo sapiens	hsa04066:HIF-1 signaling pathway,hsa04668:TNF signaling pathway,hsa04916:Melanogenesis,
EME1	essential meiotic structure-specific endonuclease 1(EME1)	Homo sapiens	hsa03440:Homologous recombination,hsa03460:Fanconi anemia pathway,
EIF4G2	eukaryotic translation initiation factor 4 gamma 2(EIF4G2)	Homo sapiens	hsa03013:RNA transport,hsa05416:Viral myocarditis,
EXOSC8	exosome component 8(EXOSC8)	Homo sapiens	hsa03018:RNA degradation,
FABP3	fatty acid binding protein 3(FABP3)	Homo sapiens	hsa03320:PPAR signaling pathway,
FABP7	fatty acid binding protein 7(FABP7)	Homo sapiens	hsa03320:PPAR signaling pathway,
FAR1	fatty acyl-CoA reductase 1(FAR1)	Homo sapiens	hsa04146:Peroxisome,
FLNC	filamin C(FLNC)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04510:Focal adhesion,hsa05132:Salmonella infection,hsa05205:Proteoglycans in cancer,
FLCN	folliculin(FLCN)	Homo sapiens	hsa05211:Renal cell carcinoma,
FOXP3	forkhead box P3(FOXP3)	Homo sapiens	hsa05321:Inflammatory bowel disease (IBD),
FTCD	formimidoyltransferase cyclodeaminase(FTCD)	Homo sapiens	hsa00340:Histidine metabolism,hsa00670:One carbon pool by folate,hsa01100:Metabolic pathways,
FRAT1	frequently rearranged in advanced T-cell lymphomas 1(FRAT1)	Homo sapiens	hsa04310:Wnt signaling pathway,
FRAT2	frequently rearranged in advanced T-cell lymphomas 2(FRAT2)	Homo sapiens	hsa04310:Wnt signaling pathway,
FZD1	frizzled class receptor 1(FZD1)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
FZD10	frizzled class receptor 10(FZD10)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
FZD2	frizzled class receptor 2(FZD2)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
FZD3	frizzled class receptor 3(FZD3)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05206:MicroRNAs in cancer,hsa05217:Basal cell carcinoma,
